102 600
25 29 16
22 31 17
25 29 16
25 27 8
26 29 18
25 28 12
22 28 8
24 29 19
25 30 20
23 27 9
23 31 5
23 27 11
24 29 5
27 34 20
29 34 8
28 35 19
30 34 11
31 33 1
31 34 20
28 36 2
29 32 20
28 35 18
31 33 14
28 36 4
28 34 2
31 32 4
27 32 13
28 36 3
30 34 10
29 32 19
28 36 6
30 36 9
29 33 15
28 34 9
31 33 12
30 34 4
28 34 10
28 34 2
27 36 12
29 36 17
29 34 6
31 34 6
30 36 6
35 37 10
36 41 5
36 40 15
33 41 5
34 38 17
35 37 9
33 39 11
33 39 13
33 39 16
35 37 19
34 40 12
34 39 15
36 39 13
36 39 1
36 37 15
36 38 13
36 40 2
32 38 18
33 41 12
36 40 8
32 37 13
35 39 11
35 41 6
32 37 20
32 38 4
34 39 3
33 38 6
32 38 17
33 38 12
32 38 8
37 45 9
37 45 11
39 45 1
37 43 11
41 45 6
41 44 10
37 45 14
39 43 12
38 42 18
39 46 1
40 45 17
38 46 17
41 42 6
39 45 16
39 43 4
41 44 3
41 45 12
37 44 1
40 42 4
37 43 13
39 44 7
40 44 2
40 46 5
41 44 15
41 44 1
40 42 12
40 46 13
40 43 13
41 43 6
37 43 1
43 51 4
42 51 8
42 48 10
46 49 4
42 50 7
43 49 18
46 47 15
45 50 4
43 48 19
44 48 5
42 51 17
42 47 11
43 50 11
44 49 16
42 50 5
42 51 18
42 48 18
45 47 9
44 49 16
46 49 18
44 47 18
44 48 19
46 49 13
43 47 2
46 49 20
43 49 14
44 47 2
45 47 18
43 49 4
45 50 20
51 53 1
48 52 20
51 56 3
49 53 13
49 53 7
50 52 14
51 52 8
51 54 9
50 52 14
51 53 3
51 56 2
48 56 8
51 55 19
47 52 6
50 53 9
47 55 1
50 56 15
50 54 7
50 54 8
48 53 2
48 55 11
49 52 14
49 53 6
49 53 11
51 54 13
48 54 15
48 54 14
48 54 11
49 52 11
50 55 5
54 61 16
56 59 1
56 59 10
54 59 17
52 57 13
52 57 15
56 61 2
52 61 1
56 57 3
56 58 20
52 57 2
53 58 16
53 61 15
56 58 16
53 61 8
56 58 8
56 59 6
54 58 15
56 59 18
52 58 10
55 57 16
55 60 14
55 60 6
53 58 5
54 60 9
53 58 14
53 59 16
56 60 20
56 60 4
54 57 4
61 62 3
61 66 18
58 62 14
61 66 15
57 65 11
58 62 15
59 62 7
60 66 12
58 63 19
59 66 10
58 63 3
57 62 15
58 65 7
58 62 3
60 66 12
57 63 19
58 65 20
57 64 16
58 66 7
59 63 1
59 64 16
57 62 18
59 64 17
61 62 20
57 65 13
59 62 17
57 65 4
61 64 2
59 62 18
60 66 10
66 67 9
64 68 6
66 69 8
65 67 1
62 67 10
66 67 2
65 71 1
62 67 2
63 70 11
65 70 7
63 71 9
64 70 15
63 69 19
66 69 10
63 68 9
64 69 19
66 70 6
63 70 3
63 68 9
65 67 6
66 70 3
63 71 5
66 68 11
62 68 3
62 70 18
63 67 19
63 71 9
64 70 3
64 69 3
66 67 2
68 73 10
67 75 10
71 75 11
71 75 4
71 76 11
68 75 15
70 74 4
70 72 20
68 74 16
71 72 7
70 74 3
69 76 10
70 74 6
69 75 18
71 72 18
67 76 11
71 73 13
71 74 10
69 76 15
67 73 9
71 73 20
68 74 15
67 72 11
67 74 10
68 72 4
68 76 3
67 76 16
71 72 20
69 74 15
68 72 2
73 81 17
75 78 10
75 77 6
72 77 19
73 81 11
72 81 4
75 79 9
73 78 18
74 81 1
76 78 9
74 78 11
76 81 3
74 78 11
74 81 13
72 79 7
72 81 8
76 77 2
75 79 13
75 77 17
74 78 16
75 77 16
75 80 14
76 78 12
72 77 13
73 81 13
75 81 1
72 80 14
72 80 16
75 78 3
72 80 12
78 86 16
79 85 4
78 85 11
79 84 10
79 84 12
78 83 7
79 82 13
79 84 3
79 82 14
81 84 7
78 83 11
78 86 10
80 85 20
79 85 5
77 85 15
77 84 16
79 82 14
77 83 3
79 82 12
79 83 3
81 84 4
80 86 9
78 86 9
79 85 8
80 84 1
80 85 13
77 85 20
81 85 3
79 82 20
81 86 3
83 88 18
83 90 14
83 87 20
84 91 5
82 90 9
85 89 1
85 89 4
84 87 17
86 87 2
83 90 16
85 90 13
85 87 17
83 87 14
85 91 3
86 87 17
82 87 12
85 89 8
82 91 3
82 91 12
86 89 7
83 88 3
86 90 18
84 91 10
83 87 14
83 87 16
86 91 19
82 89 14
83 91 3
83 87 9
86 87 3
89 93 20
89 93 11
89 96 14
91 96 5
90 92 20
89 96 8
88 96 11
89 96 9
88 94 4
90 93 8
88 96 5
88 96 13
87 96 5
91 93 19
88 96 14
89 96 7
90 94 14
87 96 4
87 94 14
90 96 3
88 93 13
88 92 13
89 94 9
88 96 4
90 96 18
88 93 9
91 93 18
88 92 9
90 93 14
89 95 7
95 102 3
95 102 5
96 102 10
93 102 5
95 102 16
96 102 16
96 102 14
96 102 5
95 102 12
92 102 10
95 102 6
93 102 7
95 102 12
96 102 18
95 102 6
92 102 4
92 102 3
94 102 5
92 102 1
93 102 5
92 102 6
96 102 13
94 102 10
95 102 3
95 102 18
96 102 19
93 102 19
96 102 5
92 102 20
93 102 17
